28,3.027,-0.6476008296
28.1,2.997,-0.6320587397
28.2,2.967,-0.6146053076
28.3,2.936,-0.5972592831
28.4,2.904,-0.5800753236
28.5,2.869,-0.5598884225
28.6,2.832,-0.5222653151
28.7,2.793,-0.4924128652
28.8,2.754,-0.4692652822
28.9,2.714,-0.4367619753
29,2.674,-0.405431211
29.1,2.633,-0.387054801
29.2,2.591,-0.3752960265
29.3,2.55,-0.3691855371
29.4,2.507,-0.3647266924
29.5,2.465,-0.3566074967
29.6,2.424,-0.3416829109
29.7,2.383,-0.3233958483
29.8,2.343,-0.3111202717
29.9,2.302,-0.3014540374
30,2.26,-0.2899093628
30.1,2.218,-0.2791148722
30.2,2.176,-0.2672677934
30.3,2.135,-0.2533708513
30.4,2.093,-0.2442371547
30.5,2.052,-0.2357477695
30.6,2.012,-0.2238121927
30.7,1.974,-0.206564948
30.8,1.939,-0.1745575815
30.9,1.906,-0.152979061
31,1.875,-0.1472990811
31.1,1.846,-0.1463924348
31.2,1.817,-0.1459389329
31.3,1.791,-0.1416621953
31.4,1.766,-0.142185092
31.5,1.744,-0.1393126249
31.6,1.722,-0.1346196085
31.7,1.702,-0.1316467822
31.8,1.684,-0.1294352561
31.9,1.666,-0.1244131178
32,1.649,-0.1177749708
32.1,1.632,-0.1109457314
32.2,1.615,-0.1057608649
32.3,1.599,-0.1028855816
32.4,1.581,-0.1000470519
32.5,1.566,-0.0983789489
32.6,1.553,-0.0977694094
32.7,1.542,-0.0971513391
32.8,1.526,-0.0974400491
32.9,1.517,-0.100093022
33,1.506,-0.102302894
33.1,1.496,-0.104047291
33.2,1.487,-0.10743469
33.3,1.48,-0.1120230183
33.4,1.474,-0.1167491451
33.5,1.468,-0.1207794994
33.6,1.463,-0.1243553013
33.7,1.459,-0.127478376
33.8,1.455,-0.1303191483
33.9,1.452,-0.1326289177
34,1.449,-0.1356411725
34.1,1.447,-0.140053153
34.2,1.445,-0.1444118023
34.3,1.444,-0.1500412822
34.4,1.444,-0.1573888659
34.5,1.444,-0.1641522497
34.6,1.444,-0.1715838015
34.7,1.445,-0.1790985316
34.8,1.447,-0.1856447309
34.9,1.449,-0.1923008859
35,1.452,-0.1996943057
35.1,1.455,-0.2070584893
35.2,1.458,-0.2119999528
35.3,1.462,-0.2180279493
35.4,1.467,-0.2254808992
35.5,1.472,-0.232810691
35.6,1.478,-0.2398106158
35.7,1.484,-0.246443361
35.8,1.49,-0.2533738613
35.9,1.497,-0.2609317303
36,1.505,-0.2685717344
36.1,1.512,-0.2760679126
36.2,1.52,-0.2836998701
36.3,1.529,-0.2913129926
36.4,1.538,-0.298933208
36.5,1.547,-0.3062385619
36.6,1.557,-0.3137835562
36.7,1.567,-0.3207451999
36.8,1.577,-0.3276593983
36.9,1.588,-0.3350538909
37,1.6,-0.3426596522
