,err_angle,err_dist,err_predict
137,0.5403884567,0.0027334668,0.0052878477
138,0.5194271871,0.0025500632,0.0052388372
139,0.0468946614,0.0119289109,0.0095107665
140,0.4474138695,0.0025928152,0.0147723971
141,0.3857297981,0.0025089163,0.0047267442
142,0.3906242154,0.0024244931,0.0045970725
143,0.385885512,0.0024432094,0.0046738608
144,0.3835969466,0.0025227124,0.004703077
145,0.3832011828,0.0023714653,0.0047121456
146,0.049991376,0.0172281331,0.0147200157
147,0.19934098,0,0.0168755338
148,0.1091541968,0.0040277395,0.0040277395
149,0.3267137575,0.0022259465,0.00568719
150,0.3165753649,0.0022178437,0.0037090142
151,0.31260681,0.0023860313,0.003768794
152,0.3103535354,0.0022446002,0.0037295251
153,0.095061952,0.0126086987,0.0108269989
154,0.2005496126,0,0.0164737588
155,0.107879841,0.0014650133,0.0014650133
156,0.1054858055,0.0012681809,0.0012626685
157,0.1078963006,0.0015221371,0.0009640958
158,0.0901425774,0.001461901,0.0008097496
159,0.084202373,0.0016093609,0.0008311094
160,0.1948807007,0.0071649546,0.0067900191
161,0.2008903494,0,0.0097744688
162,0.1914287305,0.0041787743,0.0041787743
163,0.0641643042,0.0023321242,0.0022681789
164,0.0602150694,0.0027826877,0.0010550024
165,0.0526711437,0.0025906668,0.0008775553
166,0.0312834862,0.0029666246,0.0006789575
167,0.4909501589,0.0151016142,0.0181004936
168,0.2009320446,0,0.0152070812
169,0.1717943549,0.0019800069,0.0019800069
170,0.1039998342,0.000841984,0.0015818243
171,0.128943948,0.001019526,0.0007467533
172,0.0929207003,0.0010004105,0.0005537219
173,0.1176743254,0.0011876081,0.0008021049
174,0.5328893308,0.0127861117,0.0137103846
175,0.5494238994,0.0002071144,0.013912584
176,0.5705755358,0.0016021813,0.0018340902
177,0.4441264115,0.0019525657,0.0033724852
178,0.4614789201,0.0018926054,0.003729927
179,0.4770794485,0.0019448399,0.0037788198
180,0.4773659765,0.0019334454,0.0038940497
181,0.0684749961,0.0026716494,0.0012346091
182,0.4228385811,0.000673991,0.0047339262
183,0.3499459855,0.0030559003,0.0033991553
184,0.3329289035,0.0005064898,0.002643795
185,0.328565552,0.00058073,0.000991515
186,0.328355764,0.0004189988,0.0007763726
187,0.2877828506,0.0008007831,0.0010281908
188,0.3115174016,0.0002736207,0.0005561507
189,0.036945977,0.0195388609,0.0191631273
190,0.2024876577,0,0.0210368223
191,0.2903956111,0.003389531,0.003389531
192,0.0550745848,0.0013510711,0.0019833799
193,0.0536296589,0.0014446668,0.0004990623
194,0.0747282028,0.0017078589,0.0007793242
195,0.0648305876,0.0017736435,0.000739561
196,0.4567562014,0.0138013437,0.0157131601
197,0.2017369954,0,0.0160433797
198,0.1305387053,0.0013171774,0.0013171774
199,0.1151493406,0.0012312549,0.0010590893
200,0.1314275378,0.0013074402,0.0010750495
201,0.1249920678,0.0011641195,0.0009609174
202,0.1504178789,0.0013406019,0.0012969452
203,0.5456102033,0.0030893785,0.0044816105
204,0.2021920025,0,0.0031384068
205,0.4952788714,0.0023068698,0.0023068698
206,0.6290140136,0.0016048107,0.0039958291
207,0.6519550235,0.0020767432,0.0033404029
208,0.6383067885,0.0020637718,0.0035687168
209,0.6440478843,0.0020787272,0.0035871296
210,0.3654287244,0.0106904216,0.0122015604
211,0.2008288225,0,0.0153934187
212,0.2487798916,0.0064580404,0.0064580404
213,0.4537489775,0.003781906,0.0095784504
214,0.4559533434,0.0040274755,0.0079076648
215,0.4471112411,0.0041163208,0.0080106949
216,0.4612179764,0.0040771521,0.0080042163
217,0.012158629,0.0145951625,0.010591417
218,0.2011724589,0,0.014624872
219,0.185194807,0.0046958684,0.0046958684
220,0.4190756457,0.0011008009,0.0047980312
221,0.4126350787,0.001213099,0.0021432013
222,0.4605413567,0.0008661333,0.0018955123
223,0.4303638983,0.0011256568,0.0021018895
224,0.0225112162,0.0309178966,0.0298891115
225,0.2019850926,0,0.0323605842
226,0.2827654864,0.0052932286,0.0052932286
227,0.0635237159,0.003159899,0.0023440868
228,0.0647392406,0.0032762686,0.0013107853
229,0.0658049343,0.0034575732,0.0013977682
230,0.0629162815,0.0035196819,0.0013783772
231,0.533092593,0.0144658788,0.017980407
232,0.2013383297,0,0.0138548749
233,0.2754708151,0.0051493569,0.0051493569
234,0.0154901689,0.0027347593,0.0020135397
235,0.0095215743,0.0023722228,0.0001425616
236,0.0122319428,0.0026029319,0.0003978914
237,0.0345405829,0.002696841,0.0005911169
238,0.4230971509,0.0110311342,0.0134393971
239,0.1098656929,0.0025646357,0.0136125405
240,0.1534978019,0.0015457781,0.0017092289
241,0.1319820394,0.0017982656,0.0015426794
242,0.1621753132,0.002125724,0.0020504795
243,0.1510740174,0.0016419487,0.0017183774
244,0.1735410791,0.0018663182,0.0020169519
245,0.5241664326,0.0243289825,0.0263123801
246,0.4860250454,0.0006823327,0.0276053766
247,0.4860771179,0.0030207411,0.0037375819
248,0.4278499215,0.0034317049,0.0064566202
249,0.4498836788,0.0034901852,0.0067567746
250,0.4453222031,0.0038587115,0.0073404746
251,0.4571065243,0.004025225,0.0077504308
252,0.0128398487,0.0054455337,0.00132696
253,0.4467981773,0.0014401775,0.0074657294
